Напитки безалкогольные,7up,0.0,0.0,8.7,38
Молочные продукты,Активиа Быстрый завтрак с овсянкой Яблоко-Груша,3.6,3.1,16.7,110
Молочные продукты,Активиа Момент удовольствия Вишня,4.3,2.7,13.7,97
Молочные продукты,Активиа Быстрый завтрак Клубника,4.3,2.8,20.9,127
Молочные продукты,Активиа Момент удовольствия Земляника,4.3,2.7,12.9,97
Молочные продукты,Активиа Кефирная 1%,2.9,1.0,4.5,39
Молочные продукты,Активиа Кефирная 3%,2.9,3.0,3.6,53
Молочные продукты,Активиа Быстрый завтрак Натуральный,4.8,3.1,14.4,107
Фрукты,Аки,1.0,15.0,8.0,151
Сырье и приправы,Аквафаба сублимированная Гала-Гала,6.1,0.0,14.0,84
Молочные продукты,Айран (тан) сильногазированный,1.1,1.0,1.4,19
Молочные продукты,Айран (тан) с укропом и огурцом,1.1,1.0,1.4,19
Молочные продукты,Айран (тан) негазированный,1.1,1.5,1.4,24
Сырье и приправы,Аквафаба нутовая,0.4,0.0,0.9,5
Молочные продукты,Айран (тан) негазированный нежирный,1.1,0.2,1.4,12
Кондитерские изделия,Айсинг,2.3,0.0,78.8,305
Крупы и каши,Ячневая крупа Makfa в пакетиках,10.0,1.3,65.4,313
Крупы и каши,Ячневая крупа,10.4,1.3,66.3,324
Крупы и каши,Ячневая каша на молоке,3.6,2.0,19.8,111
Крупы и каши,Ячневая каша на воде,2.3,0.3,15.7,76
Крупы и каши,Ячменная крупа,10.0,1.3,71.7,324
Крупы и каши,Ячменные хлопья,9.8,3.6,79.4,355
Крупы и каши,Ячменная каша,11.5,2.0,65.8,310
Крупы и каши,Ячменные хлопья Myllyn Paras,11.0,2.0,63.0,320
Хлебобулочные изделия,Хлеб Гагаринский,7.5,1.0,50.0,242
Хлебобулочные изделия,Хлеб Геркулес зерновой,10.1,5.4,49.0,289
Торты,Торт Ром и шоколад,6.8,23.3,49.7,436
Японская кухня,Уми каигара,4.6,2.8,15.6,106
Кондитерские изделия,Улитка Черёмушки со вкусом апельсина и шоколада,5.6,16.8,35.3,317
Овощи и зелень,Фасоль красная консервированная,6.7,0.3,17.4,99
Овощи и зелень,Фасоль красная,21.0,1.6,52.7,310
Овощи и зелень,Фасоль лимская,6.8,0.9,15.3,113
Овощи и зелень,Тыква маринованная,0.6,0.1,8.9,42
Овощи и зелень,Тыква жареная,1.4,5.5,5.2,76
Овощи и зелень,Тыква баттернат,1.0,0.1,9.7,45
Овощи и зелень,Тыква 4 сезона нарезанная,1.3,0.3,7.7,28
Овощи и зелень,Тыква,1.3,0.3,7.7,28
Рыба и морепродукты,Тунец соленый,24.5,4.5,0.0,139
Рыба и морепродукты,Тунец свежий,23.0,1.0,0.0,101
Рыба и морепродукты,Тунец копченый,24.4,4.6,0.0,139
Рыба и морепродукты,Тунец в собственном соку,21.0,1.2,0.0,96
Овощи и зелень,Турнепс,1.0,0.0,6.0,28
Рыба и морепродукты,Тунец (стружка),81.2,1.8,0.6,434
Грибы,Трюфели свежие,5.9,0.5,5.3,51
Хлебобулочные изделия,Трубочки закусочные,4.3,12.4,22.4,219
Рыба и морепродукты,Трубач,17.1,0.4,2.8,24
Крупы и каши,Тритикале,12.8,2.1,54.5,274
Рыба и морепродукты,Тридакна (морская цикада),16.7,3.6,0.0,104
Рыба и морепродукты,Треска чёрная (угольная рыба),12.2,16.9,0.0,201
Рыба и морепродукты,Треска тушеная,9.7,5.1,3.9,101
Рыба и морепродукты,Треска с гриля,22.1,9.1,0.6,172
Рыба и морепродукты,Треска Меридиан филе-кусок отварная в желе,14.0,2.0,0.0,75
Рыба и морепродукты,Треска консервированная,22.7,0.9,0.0,105
Рыба и морепродукты,Треска запечённая,6.0,3.7,8.0,90
Рыба и морепродукты,Треска (печень натуральная Беринг),9.0,43.0,1.0,400
Рыба и морепродукты,Треска (печень в масле),4.2,65.7,1.2,613
Рыба и морепродукты,Трепанг,7.3,0.6,0.0,34
Сырье и приправы,Травы итальянские,12.4,6.5,26.0,259
Сыры и творог,Тофу-паштет Casa Kubania по-провански,6.0,24.0,4.5,260
Сыры и творог,Тофу-паштет Casa Kubania индийский,6.0,22.0,2.0,230
Хлебобулочные изделия,Тортилья сырная,6.7,7.0,45.0,270
Хлебобулочные изделия,Тортилья кукурузная,5.7,2.8,44.6,218
Хлебобулочные изделия,Тортилья пшеничная,8.4,8.3,54.6,327
Хлебобулочные изделия,Тортилья (Мексиканские лепешки Tortillas),7.0,7.7,47.2,286
Торты,Торт Шоколадница вафельный с миндалём,9.5,34.0,49.0,540
Торты,Торт Шоколадная симфония,6.6,26.0,38.1,413
Торты,Торт Чёрный принц,5.9,19.3,39.4,348
Торты,Торт Чародейка с вишней,4.8,11.2,59.9,352
Торты,Торт Чародейка с фундуком,5.8,17.4,54.4,390
Торты,Торт Цветок островов,6.8,15.7,37.4,304
Торты,Торт Чародейка,5.3,15.5,57.3,382
Торты,Торт Фруктовая услада,0.6,9.1,35.1,222
Торты,Торт Фруктори - Вишня в черном,5.2,23.5,58.3,467
Торты,Торт Трюфель Черёмушки,4.4,17.0,50.4,365
Торты,Торт Трюфель с шоколадом,3.7,27.3,46.1,445
Торты,Торт Трюфель с орехами,3.7,27.3,46.1,445
Торты,Торт Трюфель с маком,3.7,27.3,46.1,445
Торты,Торт Трюфель,4.3,22.6,31.1,345
Торты,Торт Трюфель с кофе,3.7,27.3,46.1,445
Торты,Торт Триумф,3.9,15.3,35.6,292
Торты,Торт Ассорти,4.7,14.9,36.1,294
Японская кухня,Тори папурика,8.3,10.3,10.3,167
Сырье и приправы,Топпинг Ponti Glassa Gasrtonomica бальзамический,0.2,0.0,44.1,189
Овощи и зелень,Топинамбур,2.1,0.1,12.8,61
Напитки безалкогольные,Тоник,0.0,0.0,8.3,34
Овощи и зелень,Томаты Агрохолдинг Московский розовые Эксклюзив,0.9,0.2,3.9,18
Овощи и зелень,Томаты в собственном соку,1.2,0.5,3.6,24
Овощи и зелень,Томаты 4 сезона нарезанные,1.1,0.2,3.9,22
Овощи и зелень,Томаты Parmalat Pomi протертые,1.3,0.2,4.0,26
Японская кухня,Тонкацу тяхан,1.9,1.2,25.3,120
Соки и компоты,Томатный сок J-7 с мякотью,0.2,0.0,5.3,22
Соки и компоты,Томатный сок,1.1,0.2,3.8,21
Сырье и приправы,Томатная паста Помидорка,3.5,0.6,13.9,75
Сырье и приправы,Томатная паста Миладора,1.5,0.0,19.4,84
Сырье и приправы,Томатная паста Shilton,1.0,0.2,3.4,84
Сырье и приправы,Томатная паста Айлана,0.0,0.0,15.8,79
Сырье и приправы,Томатная паста Mutti,4.2,0.2,17.0,96
Сырье и приправы,Томатная паста Главпродукт,0.0,0.0,15.8,79
Сырье и приправы,Томатная паста Boni Selection с базиликом,1.5,0.5,5.9,35
Сырье и приправы,Томатная паста Boni Selection,1.5,0.0,5.2,30
Сырье и приправы,Томатная паста,2.5,0.3,16.7,80
Овощи и зелень,Томат черри,0.8,0.1,2.8,15
Овощи и зелень,Томат сушеный,3.1,4.4,4.7,71
Овощи и зелень,Томат солёный,1.1,0.1,1.6,13
Овощи и зелень,Томат замороженный,1.1,0.2,3.9,22
Овощи и зелень,Томат консервированный,1.1,0.1,3.5,20
Овощи и зелень,Томат маринованный,1.7,0.2,1.8,15
Овощи и зелень,Томат вяленый,14.1,3.0,43.5,258
Овощи и зелень,Томат (помидор),1.1,0.2,3.7,20
Рыба и морепродукты,Толстолобик маринованный,9.9,10.3,3.3,146
Рыба и морепродукты,Толстолобик белый свежий,19.5,0.9,0.2,86
Крупы и каши,Толокно овсяное Гарнец,12.2,5.8,68.3,357
